site,audio_filename,startSeconds,EndSeconds,Stereotype,Population/Pod
SWAMS,0635.wav,63.47,79.58,Z call,Antarctic
SWAMS,0635.wav,131.97,148.72,Z call,Antarctic
SWAMS,0635.wav,198.96,213.03,Z call,Antarctic
SWAMS,0635.wav,266.62,282.70,Z call,Antarctic
SWAMS,0635.wav,333.61,348.35,Z call,Antarctic
SWAMS,0635.wav,400.60,412.66,Z call,Antarctic
SWAMS,0635.wav,767.54,778.26,Z call,Antarctic
SWAMS,0635.wav,835.20,848.60,Z call,Antarctic
SWAMS,0635.wav,908.22,924.30,Z call,Antarctic
SWAMS,0635.wav,978.56,987.94,Z call,Antarctic
