site,audio_filename,startSeconds,EndSeconds,Stereotype,Population/Pod
SSEIR,0273.wav,936.479302598,959.480548627,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,2828.805473007,2858.378503616,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,3107.449139184,3125.850136007,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,3211.940514000,3233.627403113,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,3409.094051389,3438.009903539,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,3511.078445087,3538.022761864,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,3707.574804018,3736.490656169,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,4518.083009643,4541.084255672,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,4813.156137269,4844.043524793,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,4920.933404375,4952.477970357,NIO,Sri Lankan pygmy blue whales
SSEIR,0273.wav,5067.576341172,5089.920408743,NIO,Sri Lankan pygmy blue whales
