site,audio_filename,startSeconds,EndSeconds,Stereotype,Population/Pod
NCRO,0039.wav,149.76,169.49,MAD call,SWIO
NCRO,0039.wav,251.99,278.00,MAD call,SWIO
NCRO,0039.wav,356.91,382.92,MAD call,SWIO
NCRO,0039.wav,460.94,485.15,MAD call,SWIO
NCRO,0039.wav,565.86,583.80,MAD call,SWIO
NCRO,0039.wav,668.99,690.51,MAD call,SWIO
NCRO,0039.wav,773.91,798.13,MAD call,SWIO
NCRO,0039.wav,880.63,900.36,MAD call,SWIO
NCRO,0039.wav,983.76,1007.97,MAD call,SWIO
NCRO,0039.wav,1088.68,1109.31,MAD call,SWIO
